track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,rank,time_range,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino,track,spotify:track:5uRTAG2Fs6rQt41HwaIx53,https://api.spotify.com/v1/tracks/5uRTAG2Fs6rQt41HwaIx53,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,160988,,False,15,23,long_term,1,spotify_id,50138d88-8011-4314-a36b-48e25d13cee4,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,USRC12402305,0.107,0.836,0.553,9.22e-06,0.0,0.105,-10.71,1.0,0.0383,85.01,0.833
2Nq4SFbvYYZa8AF7lD7CWU,Sexy to Someone,Clairo,track,spotify:track:2Nq4SFbvYYZa8AF7lD7CWU,https://api.spotify.com/v1/tracks/2Nq4SFbvYYZa8AF7lD7CWU,https://open.spotify.com/track/2Nq4SFbvYYZa8AF7lD7CWU,207795,,False,1,24,long_term,1,spotify_id,b6198f48-f7eb-496f-adec-63a0803f29b8,https://open.spotify.com/track/2Nq4SFbvYYZa8AF7lD7CWU,USA2P2416224,0.338,0.716,0.545,0.00344,0.0,0.101,-6.949,0.0,0.0329,98.232,0.82
17kygxrx5eoU1EsHSr1dos,Los Santos,Current Blue,track,spotify:track:17kygxrx5eoU1EsHSr1dos,https://api.spotify.com/v1/tracks/17kygxrx5eoU1EsHSr1dos,https://open.spotify.com/track/17kygxrx5eoU1EsHSr1dos,137647,,True,1,25,long_term,1,spotify_id,ba540be8-4b50-46e6-b390-52e1c8a2ed45,https://open.spotify.com/track/17kygxrx5eoU1EsHSr1dos,QZHNB2099083,0.456,0.796,0.463,0.0,4.0,0.354,-7.344,0.0,0.0459,84.974,0.693
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,track,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/tracks/7yNf9YjeO5JXUE3JEBgnYc,https://open.spotify.com/track/7yNf9YjeO5JXUE3JEBgnYc,97960,,False,3,26,long_term,1,spotify_id,e604eead-a85b-453f-9eef-9dc0774f01eb,https://open.spotify.com/track/7yNf9YjeO5JXUE3JEBgnYc,USQX91802457,0.114,0.762,0.604,0.0,7.0,0.0271,-5.296,0.0,0.11,168.007,0.847
3awYmrxWHNBpmJ81YxSCAn,Colorado Kyle (Live),Arcy Drive,track,spotify:track:3awYmrxWHNBpmJ81YxSCAn,https://api.spotify.com/v1/tracks/3awYmrxWHNBpmJ81YxSCAn,https://open.spotify.com/track/3awYmrxWHNBpmJ81YxSCAn,213750,,False,4,27,long_term,1,spotify_id,65ef29b7-e6c4-4244-b5c9-fe9974cb11a7,https://open.spotify.com/track/3awYmrxWHNBpmJ81YxSCAn,QZPLS2281018,0.0139,0.325,0.84,1.16e-05,9.0,0.113,-6.003,1.0,0.0406,109.023,0.448
2k9cIkCVD4zotzFL6xj6hg,"Player Two - From ""Don't Tell Mom The Babysitter's Dead""",Jordan Ward,track,spotify:track:2k9cIkCVD4zotzFL6xj6hg,https://api.spotify.com/v1/tracks/2k9cIkCVD4zotzFL6xj6hg,https://open.spotify.com/track/2k9cIkCVD4zotzFL6xj6hg,158057,,False,1,28,long_term,1,spotify_id,41e11283-5c70-44ce-a2a3-686b8d2d5502,https://open.spotify.com/track/2k9cIkCVD4zotzFL6xj6hg,USUM72400814,0.332,0.907,0.654,0.000297,5.0,0.0285,-4.259,0.0,0.0472,131.061,0.968
1Ad2HcIX9zBqoWRvxtpYGf,Candle Flame,"Jungle, Erick the Architect",track,spotify:track:1Ad2HcIX9zBqoWRvxtpYGf,https://api.spotify.com/v1/tracks/1Ad2HcIX9zBqoWRvxtpYGf,https://open.spotify.com/track/1Ad2HcIX9zBqoWRvxtpYGf,174020,,False,3,29,long_term,1,spotify_id,62195ae0-8bd8-4231-9ab9-190d52ec1012,https://open.spotify.com/track/1Ad2HcIX9zBqoWRvxtpYGf,QM4TX2306635,0.143,0.673,0.72,1.82e-05,9.0,0.913,-7.318,0.0,0.039,123.032,0.588
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN,track,spotify:track:24VNenhLzKDWDlQ5Qaznav,https://api.spotify.com/v1/tracks/24VNenhLzKDWDlQ5Qaznav,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,212213,,False,1,30,long_term,1,spotify_id,ffe8bbc7-56c7-443e-ac1e-56e345dae3ef,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,USUG12401414,0.43,0.461,0.473,0.0,4.0,0.363,-6.731,1.0,0.0504,176.05,0.423
0zikWa6k06uycAkRB8CsXA,hi grace,Dominic Fike,track,spotify:track:0zikWa6k06uycAkRB8CsXA,https://api.spotify.com/v1/tracks/0zikWa6k06uycAkRB8CsXA,https://open.spotify.com/track/0zikWa6k06uycAkRB8CsXA,161608,,False,2,31,long_term,1,spotify_id,f4905a5b-8c0c-4386-a8f0-efe2da3d5d16,https://open.spotify.com/track/0zikWa6k06uycAkRB8CsXA,USQX92401822,0.232,0.712,0.664,0.0261,11.0,0.196,-6.459,1.0,0.231,98.011,0.699
13HalBseZHAT19C6jWs1Ma,Probably Up,Lawrence,track,spotify:track:13HalBseZHAT19C6jWs1Ma,https://api.spotify.com/v1/tracks/13HalBseZHAT19C6jWs1Ma,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma,254653,,False,9,32,long_term,1,spotify_id,5dced714-d157-4e3c-a287-a3955b34dddf,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma,QM24S1832373,0.338,0.735,0.609,3.11e-05,10.0,0.381,-5.574,1.0,0.0557,95.489,0.704
