track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,played_at,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,weather_hour,latitude,longitude,station_id,observation_time,weather_time_diff_seconds,temperature_c,dewpoint_c,wind_speed_m_s,wind_direction_deg,barometric_pressure_pa,visibility_m,relative_humidity,text_description,weather_label
4b82tXj35SycILuILcgBQ6,Hoe Cakes,MF DOOM,track,spotify:track:4b82tXj35SycILuILcgBQ6,https://api.spotify.com/v1/tracks/4b82tXj35SycILuILcgBQ6,https://open.spotify.com/track/4b82tXj35SycILuILcgBQ6,234146,,True,2,2026-03-12T16:49:52.627Z,1,spotify_id,01dbece7-a3ae-4a52-a094-92ce06fb6395,https://open.spotify.com/track/4b82tXj35SycILuILcgBQ6,USBWK0700038,0.0987,0.511,0.613,0.0,1.0,0.144,-6.371,1.0,0.321,92.184,0.95,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
5oHefuJW6udg0pphl5KXwN,Poo-Putt Platter,MF DOOM,track,spotify:track:5oHefuJW6udg0pphl5KXwN,https://api.spotify.com/v1/tracks/5oHefuJW6udg0pphl5KXwN,https://open.spotify.com/track/5oHefuJW6udg0pphl5KXwN,73613,,True,6,2026-03-12T16:45:28.231Z,1,spotify_id,f2c748e1-06b4-41b0-9427-eef75cc636e5,https://open.spotify.com/track/5oHefuJW6udg0pphl5KXwN,USBWK0700042,0.688,0.541,0.94,0.00214,8.0,0.367,-6.887,0.0,0.487,159.803,0.755,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN,track,spotify:track:24VNenhLzKDWDlQ5Qaznav,https://api.spotify.com/v1/tracks/24VNenhLzKDWDlQ5Qaznav,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,212213,,False,1,2026-03-12T16:44:14.680Z,1,spotify_id,ffe8bbc7-56c7-443e-ac1e-56e345dae3ef,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,USUG12401414,0.43,0.461,0.473,0.0,4.0,0.363,-6.731,1.0,0.0504,176.05,0.423,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
6FcDxtnGfsYHOcGkXN2OIG,Add Up My Love,Clairo,track,spotify:track:6FcDxtnGfsYHOcGkXN2OIG,https://api.spotify.com/v1/tracks/6FcDxtnGfsYHOcGkXN2OIG,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG,205263,,False,8,2026-03-12T16:40:40.867Z,1,spotify_id,fa250586-51c1-4fe6-94a5-e52a9b015fc9,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG,USA2P2416230,0.17,0.715,0.621,0.0011,8.0,0.111,-6.761,1.0,0.027,104.964,0.769,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
2pNYM3OcS7WdCW13TuhMeK,Yoshinoya,Childish Gambino,track,spotify:track:2pNYM3OcS7WdCW13TuhMeK,https://api.spotify.com/v1/tracks/2pNYM3OcS7WdCW13TuhMeK,https://open.spotify.com/track/2pNYM3OcS7WdCW13TuhMeK,202409,,True,9,2026-03-12T16:37:14.926Z,1,spotify_id,9f75729a-4b09-46f5-97a6-bce4c7b618ab,https://open.spotify.com/track/2pNYM3OcS7WdCW13TuhMeK,USRC12402300,0.0682,0.415,0.839,0.0,10.0,0.428,-9.862,0.0,0.537,163.915,0.614,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0yxOhm9EgkEDjAbXLyoObO,RUFF RIDE,"Samant, Lou Val",track,spotify:track:0yxOhm9EgkEDjAbXLyoObO,https://api.spotify.com/v1/tracks/0yxOhm9EgkEDjAbXLyoObO,https://open.spotify.com/track/0yxOhm9EgkEDjAbXLyoObO,156839,,False,1,2026-03-12T16:33:52.074Z,1,spotify_id,b1832de1-96ef-4c96-9c00-3ce3f45b9954,https://open.spotify.com/track/0yxOhm9EgkEDjAbXLyoObO,DGA0R2483050,0.725,0.695,0.511,0.000881,5.0,0.119,-6.789,0.0,0.0859,80.868,0.488,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
1sDW4P9FwNREiBNtEduDDQ,Winterfalls,Terrell Morris,track,spotify:track:1sDW4P9FwNREiBNtEduDDQ,https://api.spotify.com/v1/tracks/1sDW4P9FwNREiBNtEduDDQ,https://open.spotify.com/track/1sDW4P9FwNREiBNtEduDDQ,171365,,True,1,2026-03-12T16:31:13.491Z,1,spotify_id,7fb34496-ec35-4161-85c8-b5636cbdc747,https://open.spotify.com/track/1sDW4P9FwNREiBNtEduDDQ,USLD91728774,0.848,0.49,0.478,1.27e-05,8.0,0.358,-10.029,0.0,0.696,84.882,0.406,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
7tzgX2LHRfWmRlsbSN4pQR,Royale With Cheese,"John Travolta, Samuel L. Jackson",track,spotify:track:7tzgX2LHRfWmRlsbSN4pQR,https://api.spotify.com/v1/tracks/7tzgX2LHRfWmRlsbSN4pQR,https://open.spotify.com/track/7tzgX2LHRfWmRlsbSN4pQR,103466,,True,3,2026-03-12T16:28:21.167Z,1,spotify_id,e651e6e7-68d5-4b4c-ba33-ae98f568abf4,https://open.spotify.com/track/7tzgX2LHRfWmRlsbSN4pQR,USMC19443544,0.728,0.565,0.737,0.0,10.0,0.48,-17.0,0.0,0.497,104.926,0.223,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
4JfpJrrGNXRj2yXm1fYV23,Lithonia,Childish Gambino,track,spotify:track:4JfpJrrGNXRj2yXm1fYV23,https://api.spotify.com/v1/tracks/4JfpJrrGNXRj2yXm1fYV23,https://open.spotify.com/track/4JfpJrrGNXRj2yXm1fYV23,179320,,True,1,2026-03-12T16:26:37.311Z,1,spotify_id,c893c796-0ef5-426a-b95c-077406e01ca4,https://open.spotify.com/track/4JfpJrrGNXRj2yXm1fYV23,USRC12402124,0.0948,0.415,0.383,0.0,1.0,0.118,-7.629,1.0,0.0287,140.102,0.172,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
1xKGnsdKOh8jx8pzSZAgXE,5 Dollar Pony Rides,Mac Miller,track,spotify:track:1xKGnsdKOh8jx8pzSZAgXE,https://api.spotify.com/v1/tracks/1xKGnsdKOh8jx8pzSZAgXE,https://open.spotify.com/track/1xKGnsdKOh8jx8pzSZAgXE,222119,,False,4,2026-03-12T16:23:36.798Z,1,spotify_id,6dd04d5c-643b-4a8e-b07b-caf922c2c279,https://open.spotify.com/track/1xKGnsdKOh8jx8pzSZAgXE,USWB12307109,0.259,0.741,0.83,0.00748,11.0,0.116,-5.916,0.0,0.0853,95.518,0.301,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",track,spotify:track:5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,190072,,True,2,2026-03-12T16:19:54.456Z,1,spotify_id,7f477ef6-7c22-4ddc-b5e4-9bd2d9834ab5,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,USQX91901111,0.23,0.554,0.498,5.98e-06,9.0,0.795,-8.866,1.0,0.0685,79.635,0.413,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
7zTTDkkLkJ2iHAqq1daDCr,OUTTA MY MIND,Monsune,track,spotify:track:7zTTDkkLkJ2iHAqq1daDCr,https://api.spotify.com/v1/tracks/7zTTDkkLkJ2iHAqq1daDCr,https://open.spotify.com/track/7zTTDkkLkJ2iHAqq1daDCr,226005,,False,1,2026-03-12T16:16:43.460Z,1,spotify_id,f0075ee0-2e54-48f1-9085-d28ab12271d6,https://open.spotify.com/track/7zTTDkkLkJ2iHAqq1daDCr,QM24S1923795,0.066,0.689,0.463,0.000152,2.0,0.145,-8.121,0.0,0.0365,86.998,0.864,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino,track,spotify:track:5uRTAG2Fs6rQt41HwaIx53,https://api.spotify.com/v1/tracks/5uRTAG2Fs6rQt41HwaIx53,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,160988,,False,15,2026-03-12T16:12:56.608Z,1,spotify_id,50138d88-8011-4314-a36b-48e25d13cee4,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,USRC12402305,0.107,0.836,0.553,9.22e-06,0.0,0.105,-10.71,1.0,0.0383,85.01,0.833,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
7BPadP3q9qwMkho3IMPU99,BURN,"¥$, Kanye West, Ty Dolla $ign",track,spotify:track:7BPadP3q9qwMkho3IMPU99,https://api.spotify.com/v1/tracks/7BPadP3q9qwMkho3IMPU99,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,111477,,True,9,2026-03-12T16:10:14.754Z,1,spotify_id,e697d6cd-a5d3-42f5-bc91-50010dca2cf3,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,QZ7XS2400009,0.0166,0.602,0.877,6.51e-06,4.0,0.858,-6.27,0.0,0.385,105.002,0.724,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0NjW4SKY3gbfl2orl1p8hr,IFHY (feat. Pharrell),"Tyler, The Creator, Pharrell Williams",track,spotify:track:0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/tracks/0NjW4SKY3gbfl2orl1p8hr,https://open.spotify.com/track/0NjW4SKY3gbfl2orl1p8hr,319279,,True,11,2026-03-12T16:08:22.980Z,1,spotify_id,97ab12b9-af05-41d9-b2e5-c080371191d0,https://open.spotify.com/track/0NjW4SKY3gbfl2orl1p8hr,USQX91300228,0.197,0.358,0.715,0.0,7.0,0.581,-6.181,1.0,0.331,85.478,0.275,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
